"","nation","scenario","date","npi","Rt","Rt_sd","adherence","key","region"
"1","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"2","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"3","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"4","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"5","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"6","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"7","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"8","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"9","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"10","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"11","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"12","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"13","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"14","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"15","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"16","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"17","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"18","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"19","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"20","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"21","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"22","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"23","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"24","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"25","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"26","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"27","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"28","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"29","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"30","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"31","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"32","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"33","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
"34","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_east"
"35","england","July-19",2021-07-24,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_west"
"36","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","east_of_england"
"37","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","midlands"
"38","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","london"
"39","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_east_and_yorkshire"
"40","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_west"
"41","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_east"
"42","england","July-19",2021-07-24,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_west"
"43","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"44","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"45","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"46","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"47","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"48","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"49","england","July-19",2021-09-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"50","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"51","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"52","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"53","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"54","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"55","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"56","england","July-19",2021-09-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"57","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"58","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"59","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"60","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"61","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"62","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"63","england","July-19",2021-09-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"64","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"65","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"66","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"67","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"68","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"69","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"70","england","July-19",2021-10-23,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"71","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"72","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"73","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"74","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"75","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
"76","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_east"
"77","england","July-19",2021-10-23,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_west"
"78","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","east_of_england"
"79","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","midlands"
"80","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","london"
"81","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_east_and_yorkshire"
"82","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_west"
"83","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_east"
"84","england","July-19",2021-10-23,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_west"
"85","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"86","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"87","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"88","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"89","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"90","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"91","england","July-19",2021-11-01,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"92","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"93","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"94","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"95","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"96","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"97","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"98","england","July-19",2021-11-01,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"99","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"100","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"101","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"102","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"103","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"104","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"105","england","July-19",2021-11-01,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"106","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"107","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"108","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"109","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"110","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"111","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"112","england","July-19",2021-12-18,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"113","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"114","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"115","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"116","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"117","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
"118","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_east"
"119","england","July-19",2021-12-18,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_west"
"120","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","east_of_england"
"121","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","midlands"
"122","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","london"
"123","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_east_and_yorkshire"
"124","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_west"
"125","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_east"
"126","england","July-19",2021-12-18,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_west"
"127","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"128","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"129","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"130","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"131","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"132","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"133","england","July-19",2022-01-04,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"134","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"135","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"136","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"137","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"138","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"139","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"140","england","July-19",2022-01-04,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"141","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"142","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"143","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"144","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"145","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"146","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"147","england","July-19",2022-01-04,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"148","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"149","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"150","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"151","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"152","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"153","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"154","england","July-19",2022-02-12,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"155","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"156","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"157","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"158","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"159","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
"160","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_east"
"161","england","July-19",2022-02-12,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_west"
"162","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","east_of_england"
"163","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","midlands"
"164","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","london"
"165","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_east_and_yorkshire"
"166","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_west"
"167","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_east"
"168","england","July-19",2022-02-12,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_west"
"169","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"170","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"171","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"172","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"173","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"174","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"175","england","July-19",2022-02-21,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"176","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"177","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"178","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"179","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"180","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"181","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"182","england","July-19",2022-02-21,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"183","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"184","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"185","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"186","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"187","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"188","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"189","england","July-19",2022-02-21,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"190","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"191","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"192","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"193","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"194","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"195","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"196","england","July-19",2022-04-02,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"197","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"198","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"199","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"200","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"201","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
"202","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_east"
"203","england","July-19",2022-04-02,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","south_west"
"204","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","east_of_england"
"205","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","midlands"
"206","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","london"
"207","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_east_and_yorkshire"
"208","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","north_west"
"209","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_east"
"210","england","July-19",2022-04-02,"full_lift_schools_closed",2.93,0.2,"low","July-19: low","south_west"
"211","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"212","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"213","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"214","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"215","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"216","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"217","england","July-19",2022-04-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"218","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"219","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"220","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"221","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"222","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"223","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"224","england","July-19",2022-04-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"225","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"226","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"227","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"228","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"229","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"230","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"231","england","July-19",2022-04-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"232","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
"233","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","midlands"
"234","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","london"
"235","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_east_and_yorkshire"
"236","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","north_west"
"237","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_east"
"238","england","July-19",2022-05-28,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","south_west"
"239","england","July-19",2022-05-28,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","east_of_england"
"240","england","July-19",2022-05-28,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","midlands"
"241","england","July-19",2022-05-28,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","london"
"242","england","July-19",2022-05-28,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_east_and_yorkshire"
"243","england","July-19",2022-05-28,"full_lift_schools_closed",1.976,0.2,"high","July-19: high","north_west"
